
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
58:FB:96:3F:47:C8, 2021-12-02 17:42:50, 2021-12-02 17:43:18, 11,  -1, OPN, ,   ,  -1,        0,        2, 100. 64.  8.172,   0, , 
E2:DB:D1:E5:CD:E8, 2021-12-02 17:43:06, 2021-12-02 17:43:19, 11, 260, WPA2, CCMP, MGT, -61,        3,        0,   0.  0.  0.  0,  32, , 
0A:A7:C0:4B:71:18, 2021-12-02 17:42:16, 2021-12-02 17:43:19, 11, 260, WPA2, CCMP, MGT, -78,        7,        0,   0.  0.  0.  0,  32, , 
12:59:32:B7:50:81, 2021-12-02 17:42:19, 2021-12-02 17:43:22, 11,  65, WPA2, CCMP, PSK, -85,        7,        0,   0.  0.  0.  0,   0, , 
AE:70:5D:04:9C:C2, 2021-12-02 17:43:19, 2021-12-02 17:43:19,  6, 260, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,   0, , 
B6:70:5D:04:9C:C2, 2021-12-02 17:42:19, 2021-12-02 17:43:19,  6, 260, WPA2, CCMP, MGT, -86,        3,        0,   0.  0.  0.  0,   0, , 
92:3B:AD:26:6F:81, 2021-12-02 17:43:21, 2021-12-02 17:43:21,  4, 360, WPA2, CCMP, PSK, -87,        1,        0,   0.  0.  0.  0,   6, ORBI95, 
58:FB:96:3F:39:DC, 2021-12-02 17:43:06, 2021-12-02 17:43:06, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C0:94:35:32:DF:3C, 2021-12-02 17:42:15, 2021-12-02 17:43:06, 11, 260, WPA2, CCMP, PSK, -85,        6,        0,   0.  0.  0.  0,  17, xtra special wifi, 
A2:3D:CF:F0:6F:31, 2021-12-02 17:43:10, 2021-12-02 17:43:10,  8, 360, WPA2, CCMP, PSK, -88,        1,        0,   0.  0.  0.  0,   6, Walker, 
E2:DB:D1:47:35:0A, 2021-12-02 17:42:58, 2021-12-02 17:42:58,  6, 260, WPA2, CCMP, MGT, -85,        1,        0,   0.  0.  0.  0,  32, , 
2E:7E:81:C6:F8:08, 2021-12-02 17:42:16, 2021-12-02 17:42:45,  1, 195, WPA2, CCMP TKIP, PSK, -81,        2,        0,   0.  0.  0.  0,   0, , 
B6:DB:48:05:67:32, 2021-12-02 17:42:16, 2021-12-02 17:42:34, 11, 260, WPA2, CCMP, MGT, -84,        3,        0,   0.  0.  0.  0,   0, , 
58:FB:96:3F:34:C8, 2021-12-02 17:42:15, 2021-12-02 17:42:15, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
58:FB:96:3F:48:48, 2021-12-02 17:42:15, 2021-12-02 17:42:15, 11,  -1, OPN, ,   ,  -1,        0,        1, 100. 64. 13. 19,   0, , 
00:0D:97:0B:6A:C6, 2021-12-02 17:42:23, 2021-12-02 17:42:23, 11, 130, WPA2, CCMP, PSK, -89,        1,        0,   0.  0.  0.  0,   0, , 
C0:C9:E3:AC:D2:82, 2021-12-02 17:42:15, 2021-12-02 17:42:50, 11, 130, OPN, ,   , -88,        1,        0,   0.  0.  0.  0,   7, 212_EXT, 
